order_item_id,order_id,product_name,quantity,unit_price
OI000000,ORD000000,Experience Child,1,149.6
OI000001,ORD000001,Fight Indeed,3,148.61
OI000002,ORD000001,News By,3,149.43
OI000003,ORD000002,Threat World,1,10.81
OI000004,ORD000003,Put Suffer,3,122.39
OI000005,ORD000003,Bag Office,3,43.77
OI000006,ORD000003,Ago Rather,2,141.76
OI000007,ORD000003,Cover Believe,3,47.99
OI000008,ORD000003,World Nothing,1,59.25
OI000009,ORD000004,Administration They,1,59.18
OI000010,ORD000004,Inside Address,2,191.66
OI000011,ORD000004,Strategy Mean,2,24.93
OI000012,ORD000005,Red Machine,3,170.26
OI000013,ORD000005,Protect Crime,1,56.58
OI000014,ORD000005,Star Parent,3,147.3
OI000015,ORD000006,Family Environment,2,20.37
OI000016,ORD000006,Position Color,3,166.73
OI000017,ORD000006,Seat Building,2,177.66
OI000018,ORD000006,Skill Author,3,117.58
OI000019,ORD000007,Second Life,2,133.95
OI000020,ORD000008,Action While,2,173.96
OI000021,ORD000008,What Trouble,3,59.2
OI000022,ORD000009,Senior Hear,1,77.19
OI000023,ORD000009,Them Affect,3,135.68
OI000024,ORD000010,Physical Game,3,128.82
OI000025,ORD000010,Smile Politics,1,147.18
OI000026,ORD000010,Information Mother,2,95.14
OI000027,ORD000010,Nice Lay,3,197.96
OI000028,ORD000010,Avoid Sometimes,1,139.19
OI000029,ORD000011,Game He,1,49.66
OI000030,ORD000012,Drop Order,1,57.21
OI000031,ORD000012,Number Break,3,183.06
OI000032,ORD000012,Where Interest,2,175.89
OI000033,ORD000012,Five College,2,46.46
OI000034,ORD000013,Her Early,1,32.86
OI000035,ORD000013,Group Available,3,53.09
OI000036,ORD000013,Trip Before,3,110.1
OI000037,ORD000013,State Prove,3,118.99
OI000038,ORD000014,So Military,1,104.36
OI000039,ORD000014,Shake Crime,1,152.38
OI000040,ORD000015,Player Fish,2,121.3
OI000041,ORD000015,Himself Write,2,79.42
OI000042,ORD000015,Population Rock,3,108.18
OI000043,ORD000015,Stage Significant,1,172.85
OI000044,ORD000016,Executive Force,3,151.42
OI000045,ORD000016,Security Say,2,71.33
OI000046,ORD000016,None Note,2,89.78
OI000047,ORD000016,Against Purpose,3,5.63
OI000048,ORD000016,Of Age,2,175.79
OI000049,ORD000017,Million Month,3,182.96
OI000050,ORD000017,Figure Order,3,63.2
OI000051,ORD000017,Rock Population,1,103.99
OI000052,ORD000017,Government Bring,1,34.8
OI000053,ORD000017,Arrive Need,3,110.18
OI000054,ORD000018,Could Yet,1,68.21
OI000055,ORD000018,Campaign Quality,2,26.81
OI000056,ORD000018,Side Market,2,176.35
OI000057,ORD000018,Much Each,1,51.69
OI000058,ORD000018,Surface Modern,1,176.21
OI000059,ORD000019,Leg Bag,3,195.71
OI000060,ORD000020,Boy Movie,3,133.65
OI000061,ORD000020,Program Floor,3,37.2
OI000062,ORD000021,When Agent,3,186.14
OI000063,ORD000021,Take Lay,3,139.52
OI000064,ORD000022,Trial Fish,3,90.43
