order_id,customer_id,order_date,status,total_amount
ORD000000,CUST00000,2025-08-06,completed,149.6
ORD000001,CUST00000,2026-04-22,completed,894.12
ORD000002,CUST00001,2026-02-11,completed,10.81
ORD000003,CUST00001,2025-11-18,completed,985.22
ORD000004,CUST00002,2026-04-23,completed,492.36
ORD000005,CUST00002,2026-07-03,completed,1009.26
ORD000006,CUST00003,2026-05-04,completed,1248.99
ORD000007,CUST00003,2025-12-06,completed,267.9
ORD000008,CUST00003,2026-01-08,completed,525.52
ORD000009,CUST00003,2026-03-20,completed,484.23
ORD000010,CUST00003,2025-12-28,completed,1456.99
ORD000011,CUST00004,2026-01-08,completed,49.66
ORD000012,CUST00004,2026-07-20,cancelled,1051.09
ORD000013,CUST00004,2026-02-17,cancelled,879.4
ORD000014,CUST00005,2026-02-06,completed,256.74
ORD000015,CUST00006,2025-08-05,completed,898.83
ORD000016,CUST00006,2025-09-07,refunded,1144.95
ORD000017,CUST00007,2026-01-03,completed,1207.81
ORD000018,CUST00007,2026-06-27,completed,702.43
ORD000019,CUST00008,2025-11-25,completed,587.13
ORD000020,CUST00008,2025-10-17,refunded,512.55
ORD000021,CUST00009,2026-07-24,completed,976.98
ORD000022,CUST00010,2026-05-07,completed,461.97
ORD000023,CUST00011,2026-06-08,completed,176.27
ORD000024,CUST00011,2025-11-15,refunded,190.77
ORD000025,CUST00012,2026-05-28,completed,918.29
ORD000026,CUST00014,2026-04-09,completed,757.58
ORD000027,CUST00014,2026-07-15,completed,167.02
ORD000028,CUST00015,2026-02-08,cancelled,284.12
ORD000029,CUST00016,2026-07-02,completed,274.23
ORD000030,CUST00018,2026-07-14,completed,193.95
ORD000031,CUST00018,2026-02-09,cancelled,704.69
ORD000032,CUST00018,2026-02-04,completed,1127.92
ORD000033,CUST00018,2026-07-18,completed,416.68
ORD000034,CUST00018,2026-06-02,completed,449.46
ORD000035,CUST00019,2025-08-12,completed,363.09
ORD000036,CUST00019,2026-07-01,refunded,517.17
ORD000037,CUST00019,2026-05-20,completed,908.69
ORD000038,CUST00020,2026-02-09,refunded,20.46
ORD000039,CUST00020,2026-06-30,refunded,19.29
ORD000040,CUST00020,2025-12-12,cancelled,315.49
ORD000041,CUST00021,2025-08-20,completed,1025.94
ORD000042,CUST00021,2025-09-08,completed,206.34
ORD000043,CUST00021,2025-10-28,refunded,841.76
ORD000044,CUST00022,2025-11-07,completed,46.0
ORD000045,CUST00024,2026-01-27,refunded,331.5
ORD000046,CUST00025,2026-06-04,cancelled,1261.19
ORD000047,CUST00025,2025-08-29,completed,206.62
ORD000048,CUST00026,2026-05-28,refunded,584.34
ORD000049,CUST00027,2026-06-23,completed,350.48
ORD000050,CUST00027,2026-02-15,completed,1125.66
ORD000051,CUST00028,2026-05-11,cancelled,79.6
ORD000052,CUST00028,2026-06-01,completed,161.02
ORD000053,CUST00030,2025-10-17,cancelled,666.82
ORD000054,CUST00031,2025-08-25,completed,510.79
ORD000055,CUST00031,2026-02-06,refunded,637.56
ORD000056,CUST00032,2025-12-14,completed,1401.18
ORD000057,CUST00032,2025-08-26,completed,903.83
ORD000058,CUST00032,2026-03-25,refunded,311.06
ORD000059,CUST00033,2026-04-14,cancelled,689.2
ORD000060,CUST00033,2026-01-19,refunded,624.37
ORD000061,CUST00034,2026-06-20,completed,298.48
ORD000062,CUST00036,2026-02-18,completed,1168.42
ORD000063,CUST00036,2025-08-13,completed,156.79
ORD000064,CUST00036,2025-12-15,refunded,1176.14
ORD000065,CUST00036,2025-09-23,refunded,1086.9
ORD000066,CUST00036,2026-03-13,completed,859.69
ORD000067,CUST00037,2026-02-22,cancelled,222.44
ORD000068,CUST00038,2026-07-01,cancelled,1135.03
ORD000069,CUST00039,2026-04-14,refunded,799.15
ORD000070,CUST00040,2026-01-18,cancelled,290.39
ORD000071,CUST00040,2026-06-24,refunded,1116.23
ORD000072,CUST00042,2026-06-08,completed,605.94
ORD000073,CUST00043,2026-07-13,completed,683.22
ORD000074,CUST00044,2026-04-17,completed,152.08
ORD000075,CUST00044,2025-07-29,completed,126.16
ORD000076,CUST00045,2026-06-12,cancelled,114.97
ORD000077,CUST00046,2026-07-02,completed,719.28
ORD000078,CUST00046,2026-03-25,refunded,235.68
ORD000079,CUST00047,2026-05-08,completed,954.15
ORD000080,CUST00047,2025-08-08,cancelled,1491.18
ORD000081,CUST00048,2026-04-19,cancelled,179.08
ORD000082,CUST00048,2026-01-14,completed,589.98
ORD000083,CUST00048,2026-03-22,completed,1481.88
ORD000084,CUST00049,2026-01-23,completed,702.04
ORD000085,CUST00049,2025-09-25,completed,202.78
ORD000086,CUST00049,2025-10-16,completed,930.43
ORD000087,CUST00051,2026-04-28,completed,979.51
ORD000088,CUST00051,2026-04-15,completed,277.99
ORD000089,CUST00052,2026-06-20,completed,818.19
ORD000090,CUST00053,2026-05-18,completed,1470.66
ORD000091,CUST00054,2026-03-18,refunded,241.54
ORD000092,CUST00055,2026-03-17,refunded,283.76
ORD000093,CUST00056,2025-11-11,cancelled,881.7
ORD000094,CUST00057,2026-01-18,refunded,848.04
ORD000095,CUST00058,2026-02-01,refunded,1006.31
ORD000096,CUST00058,2025-08-17,completed,189.78
ORD000097,CUST00059,2026-04-09,refunded,35.63
ORD000098,CUST00062,2025-12-13,refunded,941.67
ORD000099,CUST00063,2025-09-02,completed,312.54
ORD000100,CUST00063,2026-01-16,refunded,497.6
ORD000101,CUST00064,2025-12-03,completed,1003.41
ORD000102,CUST00064,2026-05-17,refunded,1177.0
ORD000103,CUST00064,2026-05-11,completed,599.76
ORD000104,CUST00065,2026-06-20,completed,472.71
ORD000105,CUST00065,2026-05-14,cancelled,1125.77
