event_id,anon_or_cust_id,event_type,event_timestamp
EVT000000,CUST00067,add_to_cart,2026-07-08 07:51:31.616185
EVT000001,anon_788a1a41,checkout_start,2026-02-23 13:05:50.981946
EVT000002,anon_837f1b23,product_view,2026-07-29 12:52:06.054564
EVT000003,anon_c0395150,add_to_cart,2026-08-04 01:02:56.405303
EVT000004,CUST00076,product_view,2026-04-25 07:23:59.256118
EVT000005,anon_ee6703e9,add_to_cart,2026-06-22 15:12:56.693523
EVT000006,CUST00068,checkout_start,2026-02-19 00:38:12.371723
EVT000007,anon_e7b5f99e,checkout_start,2026-08-18 06:51:18.008125
EVT000008,CUST00290,page_view,2026-07-21 18:40:28.988113
EVT000009,CUST00083,page_view,2026-03-16 23:33:06.688338
EVT000010,CUST00130,product_view,2026-04-16 14:12:54.477744
EVT000011,anon_b517652e,page_view,2026-03-18 05:22:16.952031
EVT000012,CUST00171,checkout_start,2026-07-19 17:17:01.094240
EVT000013,CUST00286,checkout_start,2026-06-02 13:52:36.817067
EVT000014,CUST00210,page_view,2026-06-12 12:16:15.970989
EVT000015,CUST00101,add_to_cart,2026-03-18 00:39:45.856300
EVT000016,anon_81694ddd,checkout_start,2026-05-11 14:12:16.934461
EVT000017,CUST00261,product_view,2026-06-10 12:05:11.110647
EVT000018,anon_b64ca766,product_view,2026-02-28 15:40:46.513775
EVT000019,anon_aa3fb36c,product_view,2026-08-06 16:44:19.228650
EVT000020,anon_9616f326,product_view,2026-05-17 10:37:49.811230
EVT000021,anon_7b3dc936,add_to_cart,2026-04-23 01:51:43.293929
EVT000022,anon_66f4403e,checkout_start,2026-08-03 23:47:50.203381
EVT000023,CUST00292,product_view,2026-08-09 08:36:15.536856
EVT000024,anon_7da49602,page_view,2026-07-16 12:48:42.005936
EVT000025,CUST00175,add_to_cart,2026-02-19 16:01:00.143291
EVT000026,CUST00149,checkout_start,2026-08-10 00:07:01.491307
EVT000027,anon_22e0fd5a,product_view,2026-06-12 20:41:38.704899
EVT000028,CUST00227,checkout_start,2026-02-18 19:43:54.656602
EVT000029,anon_daffb62d,product_view,2026-07-23 04:25:56.188905
EVT000030,CUST00094,page_view,2026-07-28 15:40:10.636262
EVT000031,CUST00120,checkout_start,2026-06-10 00:53:34.777953
EVT000032,anon_06c5acea,page_view,2026-08-06 01:41:29.825200
EVT000033,CUST00203,page_view,2026-06-29 01:41:17.687743
EVT000034,CUST00242,page_view,2026-08-04 13:34:17.205921
EVT000035,CUST00203,page_view,2026-06-24 13:18:22.866904
EVT000036,CUST00079,page_view,2026-07-04 23:30:53.604544
EVT000037,anon_4c1e3076,product_view,2026-04-24 20:18:53.254518
EVT000038,CUST00126,checkout_start,2026-04-14 22:15:57.737747
EVT000039,CUST00064,add_to_cart,2026-07-10 19:21:36.261162
EVT000040,CUST00087,page_view,2026-04-03 16:32:33.925516
EVT000041,CUST00182,checkout_start,2026-04-28 06:03:13.737123
EVT000042,anon_83aafd42,product_view,2026-08-10 12:27:29.824723
EVT000043,anon_abd73b64,checkout_start,2026-06-27 00:57:28.828225
EVT000044,CUST00069,add_to_cart,2026-05-31 04:00:29.120225
EVT000045,CUST00233,product_view,2026-06-26 15:27:34.043717
EVT000046,CUST00273,checkout_start,2026-03-05 08:05:54.943248
EVT000047,anon_a0618dee,product_view,2026-06-13 04:35:14.724290
EVT000048,CUST00045,product_view,2026-08-17 17:28:53.756438
